month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2024-03-01,2024-03,Apartment & Condo,526,475,339,189.9019011406844,148.65,0.07236692015209124,376.532319391635,0.0,12.146203851343063,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2024-03-01,2024-03,Boutique & Hotels,33,27,27,358.95454545454544,281.4,0.1583939393939394,1408.3333333333333,0.0,45.43010752688172,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2024-03-01,2024-03,House,113,104,86,186.45044247787612,126.9,0.08421238938053098,512.2743362831858,0.0,16.52497858978019,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2024-03-01,2024-03,Others,19,19,15,143.85263157894738,113.5,0.1986842105263158,820.4736842105264,0.0,26.466893039049236,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2024-04-01,2024-04,Apartment & Condo,526,475,327,191.7638783269962,150.89999999999998,0.07522053231939164,415.8631178707224,0.0,13.86210392902408,4.713860045146727,0.2718631178707224,40.73158556406844,-73.94832054368821
2024-04-01,2024-04,Boutique & Hotels,33,27,27,375.3484848484849,286.3,0.16763636363636364,1327.0,0.0,44.233333333333334,4.495172413793104,0.18181818181818182,40.74100163636364,-73.96999542424243
2024-04-01,2024-04,House,113,104,83,187.30088495575222,125.5,0.08671681415929203,581.3008849557522,0.0,19.37669616519174,4.764301075268817,0.30973451327433627,40.71199078106195,-73.9010465660177
2024-04-01,2024-04,Others,19,19,15,147.43684210526314,115.2,0.2035263157894737,876.1052631578947,0.0,29.203508771929826,4.835,0.3684210526315789,40.71255885894737,-73.90451911000001
2024-05-01,2024-05,Apartment & Condo,238,214,195,182.52478991596638,156.1,0.16698319327731093,971.4957983193277,0.0,31.338574139333154,4.769485981308411,0.3445378151260504,40.73253620714285,-73.95233177021008
2024-05-01,2024-05,Boutique & Hotels,19,16,19,446.1105263157895,366.8,0.28368421052631576,3245.315789473684,1169.0,104.68760611205433,4.571666666666667,0.15789473684210525,40.740648105263155,-73.96925942105263
